time_period,phase_type_grouping,pupil_sen_status,primary_need,pupil_count,Need_code,Need_category,AYCode
202324,nursery,EHC plans,"Speech, Language and Communications needs",356,SLCN,Communication & Interaction,2023
202324,nursery,EHC plans,Visual Impairment,9,VI,Physical &/or Sensory,2023
202324,nursery,No SEN,Missing,29580,MN,Other,2023
202324,nursery,SEN Support,Autistic Spectrum Disorder,635,ASD,Communication & Interaction,2023
202324,nursery,SEN Support,Hearing Impairment,89,HI,Physical &/or Sensory,2023
202324,nursery,SEN Support,Moderate Learning Difficulty,113,MLD,Cognition & Learning,2023
202324,nursery,SEN Support,Multi- Sensory Impairment,16,MSI,Physical &/or Sensory,2023
202324,nursery,SEN Support,Other Difficulty/Disability,209,OTH,Other,2023
202324,nursery,SEN Support,Physical Disability,173,PD,Physical &/or Sensory,2023
202324,nursery,SEN Support,Profound & Multiple Learning Difficulty,71,PMLD,Cognition & Learning,2023
202324,nursery,SEN Support,SEN support but no specialist assessment of type of need,101,NSA,No Specific Assessment,2023
202324,nursery,SEN Support,Severe Learning Difficulty,142,SLD,Cognition & Learning,2023
202324,nursery,SEN Support,"Social, Emotional and Mental Health",444,SEMH,"Social, Emotional, Mental Health",2023
202324,nursery,SEN Support,Specific Learning Difficulty,74,SPLD,Cognition & Learning,2023
202324,nursery,SEN Support,"Speech, Language and Communications needs",4215,SLCN,Communication & Interaction,2023
202324,nursery,SEN Support,Visual Impairment,33,VI,Physical &/or Sensory,2023
202324,nursery,Total,Autistic Spectrum Disorder,853,ASD,Communication & Interaction,2023
202324,nursery,Total,Hearing Impairment,107,HI,Physical &/or Sensory,2023
202324,nursery,Total,Missing,29580,MN,Other,2023
202324,nursery,Total,Moderate Learning Difficulty,142,MLD,Cognition & Learning,2023
202324,nursery,Total,Multi- Sensory Impairment,22,MSI,Physical &/or Sensory,2023
202324,nursery,Total,Other Difficulty/Disability,245,OTH,Other,2023
202324,nursery,Total,Physical Disability,219,PD,Physical &/or Sensory,2023
202324,nursery,Total,Profound & Multiple Learning Difficulty,98,PMLD,Cognition & Learning,2023
202324,nursery,Total,SEN support but no specialist assessment of type of need,101,NSA,No Specific Assessment,2023
202324,nursery,Total,Severe Learning Difficulty,193,SLD,Cognition & Learning,2023
202324,nursery,Total,"Social, Emotional and Mental Health",453,SEMH,"Social, Emotional, Mental Health",2023
202324,nursery,Total,Specific Learning Difficulty,100,SPLD,Cognition & Learning,2023
202324,nursery,Total,"Speech, Language and Communications needs",4571,SLCN,Communication & Interaction,2023
202324,nursery,Total,Visual Impairment,42,VI,Physical &/or Sensory,2023
202324,primary,EHC plans,Autistic Spectrum Disorder,44330,ASD,Communication & Interaction,2023
202324,primary,EHC plans,Hearing Impairment,2529,HI,Physical &/or Sensory,2023
202324,primary,EHC plans,Moderate Learning Difficulty,8741,MLD,Cognition & Learning,2023
202324,primary,EHC plans,Multi- Sensory Impairment,519,MSI,Physical &/or Sensory,2023
202324,primary,EHC plans,Other Difficulty/Disability,2960,OTH,Other,2023
202324,primary,EHC plans,Physical Disability,5498,PD,Physical &/or Sensory,2023
202324,primary,EHC plans,Profound & Multiple Learning Difficulty,1270,PMLD,Cognition & Learning,2023
202324,primary,EHC plans,Severe Learning Difficulty,2446,SLD,Cognition & Learning,2023
202324,primary,EHC plans,"Social, Emotional and Mental Health",18060,SEMH,"Social, Emotional, Mental Health",2023
202324,primary,EHC plans,Specific Learning Difficulty,5640,SPLD,Cognition & Learning,2023
202324,primary,EHC plans,"Speech, Language and Communications needs",43300,SLCN,Communication & Interaction,2023
202324,primary,EHC plans,Visual Impairment,1349,VI,Physical &/or Sensory,2023
202324,primary,No SEN,Missing,3826890,MN,Other,2023
202324,primary,SEN Support,Autistic Spectrum Disorder,47811,ASD,Communication & Interaction,2023
202324,primary,SEN Support,Hearing Impairment,8580,HI,Physical &/or Sensory,2023
202324,primary,SEN Support,Moderate Learning Difficulty,100478,MLD,Cognition & Learning,2023
202324,primary,SEN Support,Multi- Sensory Impairment,1961,MSI,Physical &/or Sensory,2023
202324,primary,SEN Support,Other Difficulty/Disability,18863,OTH,Other,2023
202324,primary,SEN Support,Physical Disability,11515,PD,Physical &/or Sensory,2023
202324,primary,SEN Support,Profound & Multiple Learning Difficulty,462,PMLD,Cognition & Learning,2023
202324,primary,SEN Support,SEN support but no specialist assessment of type of need,36355,NSA,No Specific Assessment,2023
202324,primary,SEN Support,Severe Learning Difficulty,1266,SLD,Cognition & Learning,2023
202324,primary,SEN Support,"Social, Emotional and Mental Health",127260,SEMH,"Social, Emotional, Mental Health",2023
202324,primary,SEN Support,Specific Learning Difficulty,61383,SPLD,Cognition & Learning,2023
202324,primary,SEN Support,"Speech, Language and Communications needs",230969,SLCN,Communication & Interaction,2023
202324,primary,SEN Support,Visual Impairment,4555,VI,Physical &/or Sensory,2023
202324,primary,Total,Autistic Spectrum Disorder,92141,ASD,Communication & Interaction,2023
202324,primary,Total,Hearing Impairment,11109,HI,Physical &/or Sensory,2023
202324,primary,Total,Missing,3826890,MN,Other,2023
202324,primary,Total,Moderate Learning Difficulty,109219,MLD,Cognition & Learning,2023
202324,primary,Total,Multi- Sensory Impairment,2480,MSI,Physical &/or Sensory,2023
202324,primary,Total,Other Difficulty/Disability,21823,OTH,Other,2023
202324,primary,Total,Physical Disability,17013,PD,Physical &/or Sensory,2023
202324,primary,Total,Profound & Multiple Learning Difficulty,1732,PMLD,Cognition & Learning,2023
202324,primary,Total,SEN support but no specialist assessment of type of need,36355,NSA,No Specific Assessment,2023
202324,primary,Total,Severe Learning Difficulty,3712,SLD,Cognition & Learning,2023
202324,primary,Total,"Social, Emotional and Mental Health",145320,SEMH,"Social, Emotional, Mental Health",2023
202324,primary,Total,Specific Learning Difficulty,67023,SPLD,Cognition & Learning,2023
202324,primary,Total,"Speech, Language and Communications needs",274269,SLCN,Communication & Interaction,2023
202324,primary,Total,Visual Impairment,5904,VI,Physical &/or Sensory,2023
202324,secondary,EHC plans,Autistic Spectrum Disorder,29146,ASD,Communication & Interaction,2023
202324,secondary,EHC plans,Hearing Impairment,2233,HI,Physical &/or Sensory,2023
202324,secondary,EHC plans,Moderate Learning Difficulty,10559,MLD,Cognition & Learning,2023
202324,secondary,EHC plans,Multi- Sensory Impairment,352,MSI,Physical &/or Sensory,2023
202324,secondary,EHC plans,Other Difficulty/Disability,2869,OTH,Other,2023
202324,secondary,EHC plans,Physical Disability,4437,PD,Physical &/or Sensory,2023
202324,secondary,EHC plans,Profound & Multiple Learning Difficulty,351,PMLD,Cognition & Learning,2023
202324,secondary,EHC plans,Severe Learning Difficulty,1252,SLD,Cognition & Learning,2023
202324,secondary,EHC plans,"Social, Emotional and Mental Health",22099,SEMH,"Social, Emotional, Mental Health",2023
202324,secondary,EHC plans,Specific Learning Difficulty,7890,SPLD,Cognition & Learning,2023
202324,secondary,EHC plans,"Speech, Language and Communications needs",17167,SLCN,Communication & Interaction,2023
202324,secondary,EHC plans,Visual Impairment,1470,VI,Physical &/or Sensory,2023
202324,secondary,No SEN,Missing,3098431,MN,Other,2023
202324,secondary,SEN Support,Autistic Spectrum Disorder,55521,ASD,Communication & Interaction,2023
202324,secondary,SEN Support,Hearing Impairment,8448,HI,Physical &/or Sensory,2023
202324,secondary,SEN Support,Moderate Learning Difficulty,78554,MLD,Cognition & Learning,2023
202324,secondary,SEN Support,Multi- Sensory Impairment,1327,MSI,Physical &/or Sensory,2023
202324,secondary,SEN Support,Other Difficulty/Disability,22882,OTH,Other,2023
202324,secondary,SEN Support,Physical Disability,10134,PD,Physical &/or Sensory,2023
202324,secondary,SEN Support,Profound & Multiple Learning Difficulty,146,PMLD,Cognition & Learning,2023
202324,secondary,SEN Support,SEN support but no specialist assessment of type of need,16466,NSA,No Specific Assessment,2023
202324,secondary,SEN Support,Severe Learning Difficulty,682,SLD,Cognition & Learning,2023
202324,secondary,SEN Support,"Social, Emotional and Mental Health",118991,SEMH,"Social, Emotional, Mental Health",2023
202324,secondary,SEN Support,Specific Learning Difficulty,97232,SPLD,Cognition & Learning,2023
202324,secondary,SEN Support,"Speech, Language and Communications needs",56144,SLCN,Communication & Interaction,2023
202324,secondary,SEN Support,Visual Impairment,5150,VI,Physical &/or Sensory,2023
202324,secondary,Total,Autistic Spectrum Disorder,84667,ASD,Communication & Interaction,2023
202324,secondary,Total,Hearing Impairment,10681,HI,Physical &/or Sensory,2023
202324,secondary,Total,Missing,3098431,MN,Other,2023
202324,secondary,Total,Moderate Learning Difficulty,89113,MLD,Cognition & Learning,2023
202324,secondary,Total,Multi- Sensory Impairment,1679,MSI,Physical &/or Sensory,2023
202324,secondary,Total,Other Difficulty/Disability,25751,OTH,Other,2023
202324,secondary,Total,Physical Disability,14571,PD,Physical &/or Sensory,2023
202324,secondary,Total,Profound & Multiple Learning Difficulty,497,PMLD,Cognition & Learning,2023
202324,secondary,Total,SEN support but no specialist assessment of type of need,16466,NSA,No Specific Assessment,2023
202324,secondary,Total,Severe Learning Difficulty,1934,SLD,Cognition & Learning,2023
202324,secondary,Total,"Social, Emotional and Mental Health",141090,SEMH,"Social, Emotional, Mental Health",2023
202324,secondary,Total,Specific Learning Difficulty,105122,SPLD,Cognition & Learning,2023
202324,secondary,Total,"Speech, Language and Communications needs",73311,SLCN,Communication & Interaction,2023
202324,secondary,Total,Visual Impairment,6620,VI,Physical &/or Sensory,2023
202324,special,EHC plans,Autistic Spectrum Disorder,56656,ASD,Communication & Interaction,2023
202324,special,EHC plans,Hearing Impairment,1153,HI,Physical &/or Sensory,2023
202324,special,EHC plans,Moderate Learning Difficulty,14368,MLD,Cognition & Learning,2023
202324,special,EHC plans,Multi- Sensory Impairment,355,MSI,Physical &/or Sensory,2023
202324,special,EHC plans,Other Difficulty/Disability,2718,OTH,Other,2023
202324,special,EHC plans,Physical Disability,4247,PD,Physical &/or Sensory,2023
202324,special,EHC plans,Profound & Multiple Learning Difficulty,8171,PMLD,Cognition & Learning,2023
202324,special,EHC plans,Severe Learning Difficulty,27792,SLD,Cognition & Learning,2023
202324,special,EHC plans,"Social, Emotional and Mental Health",18912,SEMH,"Social, Emotional, Mental Health",2023
202324,special,EHC plans,Specific Learning Difficulty,3601,SPLD,Cognition & Learning,2023
202324,special,EHC plans,"Speech, Language and Communications needs",16435,SLCN,Communication & Interaction,2023
202324,special,EHC plans,Visual Impairment,811,VI,Physical &/or Sensory,2023
202324,special,No SEN,Missing,51,MN,Other,2023
202324,special,SEN Support,Autistic Spectrum Disorder,251,ASD,Communication & Interaction,2023
202324,special,SEN Support,Hearing Impairment,20,HI,Physical &/or Sensory,2023
202324,special,SEN Support,Moderate Learning Difficulty,31,MLD,Cognition & Learning,2023
202324,special,SEN Support,Multi- Sensory Impairment,1,MSI,Physical &/or Sensory,2023
202324,special,SEN Support,Other Difficulty/Disability,19,OTH,Other,2023
202324,special,SEN Support,Physical Disability,38,PD,Physical &/or Sensory,2023
202324,special,SEN Support,Profound & Multiple Learning Difficulty,89,PMLD,Cognition & Learning,2023
202324,special,SEN Support,SEN support but no specialist assessment of type of need,111,NSA,No Specific Assessment,2023
202324,special,SEN Support,Severe Learning Difficulty,103,SLD,Cognition & Learning,2023
202324,special,SEN Support,"Social, Emotional and Mental Health",189,SEMH,"Social, Emotional, Mental Health",2023
202324,special,SEN Support,Specific Learning Difficulty,23,SPLD,Cognition & Learning,2023
202324,special,SEN Support,"Speech, Language and Communications needs",147,SLCN,Communication & Interaction,2023
202324,special,SEN Support,Visual Impairment,8,VI,Physical &/or Sensory,2023
202324,special,Total,Autistic Spectrum Disorder,56907,ASD,Communication & Interaction,2023
202324,special,Total,Hearing Impairment,1173,HI,Physical &/or Sensory,2023
202324,special,Total,Missing,51,MN,Other,2023
202324,special,Total,Moderate Learning Difficulty,14399,MLD,Cognition & Learning,2023
202324,special,Total,Multi- Sensory Impairment,356,MSI,Physical &/or Sensory,2023
202324,special,Total,Other Difficulty/Disability,2737,OTH,Other,2023
202324,special,Total,Physical Disability,4285,PD,Physical &/or Sensory,2023
202324,special,Total,Profound & Multiple Learning Difficulty,8260,PMLD,Cognition & Learning,2023
202324,special,Total,SEN support but no specialist assessment of type of need,111,NSA,No Specific Assessment,2023
202324,special,Total,Severe Learning Difficulty,27895,SLD,Cognition & Learning,2023
202324,special,Total,"Social, Emotional and Mental Health",19101,SEMH,"Social, Emotional, Mental Health",2023
202324,special,Total,Specific Learning Difficulty,3624,SPLD,Cognition & Learning,2023
202324,special,Total,"Speech, Language and Communications needs",16582,SLCN,Communication & Interaction,2023
202324,special,Total,Visual Impairment,819,VI,Physical &/or Sensory,2023
202324,Total,EHC plans,Autistic Spectrum Disorder,132249,ASD,Communication & Interaction,2023
202324,Total,EHC plans,Hearing Impairment,6320,HI,Physical &/or Sensory,2023
202324,Total,EHC plans,Missing,6,MN,Other,2023
202324,Total,EHC plans,Moderate Learning Difficulty,33954,MLD,Cognition & Learning,2023
202324,Total,EHC plans,Multi- Sensory Impairment,1261,MSI,Physical &/or Sensory,2023
202324,Total,EHC plans,Other Difficulty/Disability,8734,OTH,Other,2023
202324,Total,EHC plans,Physical Disability,14568,PD,Physical &/or Sensory,2023
202324,Total,EHC plans,Profound & Multiple Learning Difficulty,10014,PMLD,Cognition & Learning,2023
202324,Total,EHC plans,Severe Learning Difficulty,31787,SLD,Cognition & Learning,2023
202324,Total,EHC plans,"Social, Emotional and Mental Health",62125,SEMH,"Social, Emotional, Mental Health",2023
202324,Total,EHC plans,Specific Learning Difficulty,17361,SPLD,Cognition & Learning,2023
202324,Total,EHC plans,"Speech, Language and Communications needs",78199,SLCN,Communication & Interaction,2023
202324,Total,EHC plans,Visual Impairment,3835,VI,Physical &/or Sensory,2023
202324,Total,No SEN,Missing,6957776,MN,Other,2023
202324,Total,SEN Support,Autistic Spectrum Disorder,104395,ASD,Communication & Interaction,2023
202324,Total,SEN Support,Hearing Impairment,17156,HI,Physical &/or Sensory,2023
202324,Total,SEN Support,Missing,6,MN,Other,2023
202324,Total,SEN Support,Moderate Learning Difficulty,179554,MLD,Cognition & Learning,2023
202324,Total,SEN Support,Multi- Sensory Impairment,3312,MSI,Physical &/or Sensory,2023
202324,Total,SEN Support,Other Difficulty/Disability,42153,OTH,Other,2023
202324,Total,SEN Support,Physical Disability,21872,PD,Physical &/or Sensory,2023
202324,Total,SEN Support,Profound & Multiple Learning Difficulty,780,PMLD,Cognition & Learning,2023
202324,Total,SEN Support,SEN support but no specialist assessment of type of need,53641,NSA,No Specific Assessment,2023
202324,Total,SEN Support,Severe Learning Difficulty,2193,SLD,Cognition & Learning,2023
202324,Total,SEN Support,"Social, Emotional and Mental Health",254202,SEMH,"Social, Emotional, Mental Health",2023
202324,Total,SEN Support,Specific Learning Difficulty,158974,SPLD,Cognition & Learning,2023
202324,Total,SEN Support,"Speech, Language and Communications needs",291742,SLCN,Communication & Interaction,2023
202324,Total,SEN Support,Visual Impairment,9766,VI,Physical &/or Sensory,2023
202324,Total,Total,Autistic Spectrum Disorder,236644,ASD,Communication & Interaction,2023
202324,Total,Total,Hearing Impairment,23476,HI,Physical &/or Sensory,2023
202324,Total,Total,Missing,6957788,MN,Other,2023
202324,Total,Total,Moderate Learning Difficulty,213508,MLD,Cognition & Learning,2023
202324,Total,Total,Multi- Sensory Impairment,4573,MSI,Physical &/or Sensory,2023
202324,Total,Total,Other Difficulty/Disability,50887,OTH,Other,2023
202324,Total,Total,Physical Disability,36440,PD,Physical &/or Sensory,2023
202324,Total,Total,Profound & Multiple Learning Difficulty,10794,PMLD,Cognition & Learning,2023
202324,Total,Total,SEN support but no specialist assessment of type of need,53641,NSA,No Specific Assessment,2023
202324,Total,Total,Severe Learning Difficulty,33980,SLD,Cognition & Learning,2023
202324,Total,Total,"Social, Emotional and Mental Health",316327,SEMH,"Social, Emotional, Mental Health",2023
202324,Total,Total,Specific Learning Difficulty,176335,SPLD,Cognition & Learning,2023
202324,Total,Total,"Speech, Language and Communications needs",369941,SLCN,Communication & Interaction,2023
202324,Total,Total,Visual Impairment,13601,VI,Physical &/or Sensory,2023
202223,special,EHC plans,Autistic Spectrum Disorder,1370,ASD,Communication & Interaction,2022
202223,special,EHC plans,Hearing Impairment,413,HI,Physical &/or Sensory,2022
202223,special,EHC plans,Moderate Learning Difficulty,103,MLD,Cognition & Learning,2022
202223,special,EHC plans,Multi- Sensory Impairment,36,MSI,Physical &/or Sensory,2022
202223,special,EHC plans,Other Difficulty/Disability,50,OTH,Other,2022
202223,special,EHC plans,Physical Disability,325,PD,Physical &/or Sensory,2022
202223,special,EHC plans,Profound & Multiple Learning Difficulty,183,PMLD,Cognition & Learning,2022
202223,special,EHC plans,Severe Learning Difficulty,204,SLD,Cognition & Learning,2022
202223,special,EHC plans,"Social, Emotional and Mental Health",463,SEMH,"Social, Emotional, Mental Health",2022
202223,special,EHC plans,Specific Learning Difficulty,91,SPLD,Cognition & Learning,2022
202223,special,EHC plans,"Speech, Language and Communications needs",568,SLCN,Communication & Interaction,2022
202223,special,EHC plans,Visual Impairment,189,VI,Physical &/or Sensory,2022
202223,special,No SEN,Missing,18,MN,Other,2022
202223,special,SEN Support,Autistic Spectrum Disorder,6,ASD,Communication & Interaction,2022
202223,special,SEN Support,Hearing Impairment,6,HI,Physical &/or Sensory,2022
202223,special,SEN Support,Moderate Learning Difficulty,2,MLD,Cognition & Learning,2022
202223,special,SEN Support,Other Difficulty/Disability,3,OTH,Other,2022
202223,special,SEN Support,Profound & Multiple Learning Difficulty,15,PMLD,Cognition & Learning,2022
202223,special,SEN Support,SEN support but no specialist assessment of type of need,1,NSA,No Specific Assessment,2022
202223,special,SEN Support,"Social, Emotional and Mental Health",3,SEMH,"Social, Emotional, Mental Health",2022
202223,special,SEN Support,Specific Learning Difficulty,2,SPLD,Cognition & Learning,2022
202223,special,SEN Support,"Speech, Language and Communications needs",8,SLCN,Communication & Interaction,2022
202223,special,SEN Support,Visual Impairment,11,VI,Physical &/or Sensory,2022
202223,special,Total,Autistic Spectrum Disorder,1376,ASD,Communication & Interaction,2022
202223,special,Total,Hearing Impairment,419,HI,Physical &/or Sensory,2022
202223,special,Total,Missing,18,MN,Other,2022
202223,special,Total,Moderate Learning Difficulty,105,MLD,Cognition & Learning,2022
202223,special,Total,Multi- Sensory Impairment,36,MSI,Physical &/or Sensory,2022
202223,special,Total,Other Difficulty/Disability,53,OTH,Other,2022
202223,special,Total,Physical Disability,325,PD,Physical &/or Sensory,2022
202223,special,Total,Profound & Multiple Learning Difficulty,198,PMLD,Cognition & Learning,2022
202223,special,Total,SEN support but no specialist assessment of type of need,1,NSA,No Specific Assessment,2022
202223,special,Total,Severe Learning Difficulty,204,SLD,Cognition & Learning,2022
202223,special,Total,"Social, Emotional and Mental Health",466,SEMH,"Social, Emotional, Mental Health",2022
202223,special,Total,Specific Learning Difficulty,93,SPLD,Cognition & Learning,2022
202223,special,Total,"Speech, Language and Communications needs",576,SLCN,Communication & Interaction,2022
202223,special,Total,Visual Impairment,200,VI,Physical &/or Sensory,2022
202223,AP,EHC plans,Autistic Spectrum Disorder,507,ASD,Communication & Interaction,2022
202223,AP,EHC plans,Hearing Impairment,7,HI,Physical &/or Sensory,2022
202223,AP,EHC plans,Moderate Learning Difficulty,105,MLD,Cognition & Learning,2022
202223,AP,EHC plans,Multi- Sensory Impairment,5,MSI,Physical &/or Sensory,2022
202223,AP,EHC plans,Other Difficulty/Disability,82,OTH,Other,2022
202223,AP,EHC plans,Physical Disability,17,PD,Physical &/or Sensory,2022
202223,AP,EHC plans,Profound & Multiple Learning Difficulty,9,PMLD,Cognition & Learning,2022
202223,AP,EHC plans,Severe Learning Difficulty,17,SLD,Cognition & Learning,2022
202223,AP,EHC plans,"Social, Emotional and Mental Health",2273,SEMH,"Social, Emotional, Mental Health",2022
202223,AP,EHC plans,Specific Learning Difficulty,101,SPLD,Cognition & Learning,2022
202223,AP,EHC plans,"Speech, Language and Communications needs",239,SLCN,Communication & Interaction,2022
202223,AP,EHC plans,Visual Impairment,6,VI,Physical &/or Sensory,2022
202223,AP,No SEN,Missing,2305,MN,Other,2022
202223,AP,SEN Support,Autistic Spectrum Disorder,130,ASD,Communication & Interaction,2022
202223,AP,SEN Support,Hearing Impairment,16,HI,Physical &/or Sensory,2022
202223,AP,SEN Support,Moderate Learning Difficulty,309,MLD,Cognition & Learning,2022
202223,AP,SEN Support,Multi- Sensory Impairment,3,MSI,Physical &/or Sensory,2022
202223,AP,SEN Support,Other Difficulty/Disability,136,OTH,Other,2022
202223,AP,SEN Support,Physical Disability,12,PD,Physical &/or Sensory,2022
202223,AP,SEN Support,Profound & Multiple Learning Difficulty,1,PMLD,Cognition & Learning,2022
